product_code,x,y,cluster_name,target,name
1502,1.232849110151033,1.276699573502651,Agriculture,2004," Fats of bovine animals, sheep or goats, other than those of heading 15.03."
7018,0.6985578624340998,-1.0009340174689094,Textile and Home Goods,4909,"Worked glass, other than imitation jewellery; glass microspheres not exceeding 1 mm in diameter."
7018,0.6985578624340998,-1.0009340174689094,Textile and Home Goods,8212,"Worked glass, other than imitation jewellery; glass microspheres not exceeding 1 mm in diameter."
7018,0.6985578624340998,-1.0009340174689094,Textile and Home Goods,5701,"Worked glass, other than imitation jewellery; glass microspheres not exceeding 1 mm in diameter."
7018,0.6985578624340998,-1.0009340174689094,Textile and Home Goods,7303,"Worked glass, other than imitation jewellery; glass microspheres not exceeding 1 mm in diameter."
7018,0.6985578624340998,-1.0009340174689094,Textile and Home Goods,8447,"Worked glass, other than imitation jewellery; glass microspheres not exceeding 1 mm in diameter."
6211,3.0398683912158537,-1.472848447227455,Textile Apparel and Accessories,6203," Track suits, ski suits and swimwear; other garments."
6211,3.0398683912158537,-1.472848447227455,Textile Apparel and Accessories,6201," Track suits, ski suits and swimwear; other garments."
6211,3.0398683912158537,-1.472848447227455,Textile Apparel and Accessories,6114," Track suits, ski suits and swimwear; other garments."
6211,3.0398683912158537,-1.472848447227455,Textile Apparel and Accessories,6307," Track suits, ski suits and swimwear; other garments."
6211,3.0398683912158537,-1.472848447227455,Textile Apparel and Accessories,6210," Track suits, ski suits and swimwear; other garments."
8508,-1.2797530386262113,-1.145760753136572,Electronic and Electrical Goods,8467, Vacuum cleaners.
8508,-1.2797530386262113,-1.145760753136572,Electronic and Electrical Goods,8509, Vacuum cleaners.
8508,-1.2797530386262113,-1.145760753136572,Electronic and Electrical Goods,9029, Vacuum cleaners.
