"Mode","Station","annual_entry_exit","Station_london","latitude","longitude"
"LO","Emerson Park Station",273840,"Emerson Park Station , London",51.5686007,0.2202375
"LO","Enfield Town Station",2315882,"Enfield Town Station , London",51.6523584,-0.0783252
"LO","Euston NR Station",2896370,"Euston NR Station , London",NA,NA
"LO","Finchley Road & Frognal Station",2257755,"Finchley Road & Frognal Station , London",51.5503839,-0.1831473
"LO","Forest Hill Station",2764777,"Forest Hill Station , London",51.4392419,-0.0530903
"LO","Gospel Oak Station",2689437,"Gospel Oak Station , London",51.5547215,-0.1521369
"LO","Gunnersbury Station",NA,"Gunnersbury Station , London",51.4905801,-0.2742774
"LO","Hackney Central Station",5608887,"Hackney Central Station , London",51.5479255,-0.0565395
"LO","Hackney Downs Station",4356459,"Hackney Downs Station , London",51.5491354,-0.060555
"LO","Hackney Wick Station",3797970,"Hackney Wick Station , London",51.54266,-0.0250299
"LO","Haggerston Station",3198037,"Haggerston Station , London",51.5382237,-0.0768624
"LO","Hampstead Heath Station",3164739,"Hampstead Heath Station , London",51.5552396,-0.1653912
"LO","Harlesden Station",NA,"Harlesden Station , London",51.5363567,-0.257833
"LO","Harringay Green Lanes Station",1875274,"Harringay Green Lanes Station , London",51.5771747,-0.0988112
"LO","Harrow & Wealdstone Station",NA,"Harrow & Wealdstone Station , London",51.5922864,-0.3338383
"LO","Hatch End Station",624414,"Hatch End Station , London",51.6087125,-0.3700564
"LO","Headstone Lane Station",458943,"Headstone Lane Station , London",51.6021839,-0.3563789
"LO","Highams Park Station",2639702,"Highams Park Station , London",51.6084767,0.0003285
"LO","Highbury & Islington Station",NA,"Highbury & Islington Station , London",51.5463679,-0.1036544
"LO","Homerton Station",4157303,"Homerton Station , London",51.54700105,-0.042218343609249
"LO","Honor Oak Park Station",2555344,"Honor Oak Park Station , London",51.4496344,-0.0458947
"LO","Hoxton Station",3825837,"Hoxton Station , London",51.5300267,-0.074467
"LO","Imperial Wharf Station",3226310,"Imperial Wharf Station , London",51.4745087,-0.1832205
"LO","Kensal Green Station",NA,"Kensal Green Station , London",51.5298151,-0.2233707
"LO","Kensal Rise Station",3211667,"Kensal Rise Station , London",51.533916,-0.2191431
"LO","Kensington (Olympia) Station",2303087,"Kensington (Olympia) Station , London",51.4963361,-0.2064326
"LO","Kentish Town West Station",2610671,"Kentish Town West Station , London",51.5469937,-0.1467554
"LO","Kenton Station",NA,"Kenton Station , London",51.5814418,-0.3182647
"LO","Kew Gardens Station",NA,"Kew Gardens Station , London",51.47708625,-0.285194886448868
"LO","Kilburn High Road Station",693292,"Kilburn High Road Station , London",51.5364886,-0.1918093
"LO","Leyton Midland Road Station",1789972,"Leyton Midland Road Station , London",51.5694492,-0.0070762
"LO","Leytonstone High Road Station",1217716,"Leytonstone High Road Station , London",51.5627468,0.0092848
"LO","Liverpool Street NR Station",12853573,"Liverpool Street NR Station , London",NA,NA
"LO","London Fields Station",1819638,"London Fields Station , London",51.5410518,-0.0577737
